Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
0.12128146453089245,0,79,30,279,22,248,148,152,190,92,331,0.18832391713747645,9,25,18,339,81,21,4,0.9051428571428571,0.8776896942242356,0.8846597462514417,0.8857142857142857,0.9125874125874126,0.8857142857142857,1.0,1.0,1.0,0.783,0.9328770147935527,0.39285714285714285,0.0,0.0,2,0.01818181818181818,338,24,3,19,1,0.009197372780193834,0.009197372780193834,0.009197372780193834
0.12204424103737604,0,302,2,367,205,282,1,263,180,324,422,0.002824858757062147,46,26,16,45,304,3,4,0.8857142857142857,0.8969422423556058,0.8846597462514417,0.8948571428571429,0.9032634032634033,0.8765714285714286,1.0,1.0,1.0,0.792,0.9328770147935527,0.35714285714285715,0.0,0.0,2,0.01818181818181818,44,25,16,25,1,0.008829267523124898,0.008829267523124898,0.008829267523124898
0.12280701754385964,0,98,4,90,23,130,683,79,183,285,132,0.23540489642184556,5,20,14,268,107,5,4,0.9051428571428571,0.8867497168742922,0.9031141868512111,0.8948571428571429,0.8834498834498834,0.8662857142857143,1.0,1.0,1.0,0.792,0.9328770147935527,0.39285714285714285,0.0,0.0,2,0.0,266,19,19,8,1,0.008934440453716023,0.008934440453716023,0.008934440453716023
0.12509534706331046,0,165,9,143,23,49,237,248,264,217,348,0.23540489642184556,50,3,12,149,172,2,4,0.9337142857142857,0.8867497168742922,0.8846597462514417,0.8948571428571429,0.8939393939393939,0.8948571428571429,1.0,1.0,1.0,0.75,0.9328770147935527,0.39285714285714285,0.0,0.0,2,0.03636363636363636,147,3,22,12,0,0.006886933840968012,0.006886933840968012,0.006886933840968012
0.12585812356979406,0,78,15,431,23,354,1,88,228,208,352,0.22128060263653485,46,22,11,530,80,22,4,0.9051428571428571,0.8867497168742922,0.8846597462514417,0.9142857142857143,0.8939393939393939,0.8857142857142857,1.0,1.0,1.0,0.767,0.9328770147935527,0.39285714285714285,0.0,0.0,0,0.0,529,21,17,18,1,0.01051203441258289,0.01051203441258289,0.01051203441258289
0.12662090007627766,0,195,19,287,23,227,337,248,94,119,384,0.05273069679849341,3,0,11,227,198,27,4,0.9142857142857143,0.8969422423556058,0.8558246828143022,0.9234285714285715,0.8741258741258742,0.8765714285714286,1.0,1.0,1.0,0.792,0.9328770147935527,0.4285714285714285,0.0,0.0,2,0.0,226,0,15,1,1,0.007093914168371344,0.007093914168371344,0.007093914168371344
0.12738367658276126,0,7,19,190,23,6,474,92,131,129,532,0.23540489642184556,3,0,11,320,3,27,4,0.9051428571428571,0.8867497168742922,0.8938869665513264,0.8857142857142857,0.9032634032634033,0.8948571428571429,1.0,1.0,1.0,0.767,0.9328770147935527,0.39285714285714285,0.0,0.0,2,0.07272727272727272,318,0,15,1,1,0.007882711147804778,0.007882711147804778,0.007882711147804778
0.12814645308924486,0,165,9,396,23,55,284,242,28,99,8,0.23540489642184556,50,3,11,131,172,2,4,0.8765714285714286,0.9060022650056625,0.8846597462514417,0.9142857142857143,0.8741258741258742,0.8948571428571429,1.0,1.0,1.0,0.783,0.9328770147935527,0.39285714285714285,0.0,0.0,2,0.03636363636363636,127,3,22,12,1,0.006886933840968012,0.007093914168371344,0.006886933840968012
0.13043478260869565,0,200,4,466,146,59,661,20,78,285,65,0.2589453860640301,50,20,18,358,209,5,4,0.8662857142857143,0.8867497168742922,0.9031141868512111,0.9142857142857143,0.8939393939393939,0.8662857142857143,1.0,1.0,1.0,0.792,0.9319938176197836,0.35714285714285715,0.0,0.0,0,0.05454545454545454,355,19,19,8,1,0.006830981841893533,0.006830981841893533,0.006830981841893533
0.13348588863463004,0,172,27,505,23,395,822,243,59,187,326,0.0018832391713747645,22,19,11,226,176,27,4,0.8948571428571429,0.8867497168742922,0.8938869665513264,0.9142857142857143,0.8741258741258742,0.8857142857142857,1.0,1.0,1.0,0.775,0.9319938176197836,0.39285714285714285,0.0,0.0,0,0.0,225,18,9,0,1,0.006305117188937911,0.006305117188937911,0.006305117188937911
0.13424866514111367,0,178,32,514,23,49,477,157,28,149,352,0.004708097928436911,8,19,11,188,181,9,0,0.9051428571428571,0.8969422423556058,0.8650519031141869,0.8948571428571429,0.8741258741258742,0.9051428571428571,1.0,1.0,1.0,0.783,0.9319938176197836,0.39285714285714285,0.0,0.0,0,0.01818181818181818,187,18,9,0,0,0.006886933840968012,0.007093914168371344,0.006886933840968012
0.13653699466056446,0,188,15,283,177,105,1,29,199,208,639,0.14124293785310735,46,14,22,91,192,22,4,0.8377142857142857,0.8584371460928653,0.9031141868512111,0.8857142857142857,0.9032634032634033,0.9051428571428571,1.0,1.0,1.0,0.817,0.9310002207992935,0.39285714285714285,0.0,0.0,2,0.07272727272727272,91,14,24,22,1,0.009460305106671644,0.009460305106671644,0.009460305106671644
0.13729977116704806,0,31,11,328,80,108,357,65,131,68,449,0.2589453860640301,47,13,18,388,32,5,4,0.9051428571428571,0.9060022650056625,0.8938869665513264,0.8765714285714286,0.8939393939393939,0.8857142857142857,1.0,1.0,1.0,0.758,0.9310002207992935,0.35714285714285715,0.0,0.0,2,0.05454545454545454,388,13,23,13,1,0.007882711147804778,0.007882711147804778,0.007882711147804778
0.14187643020594964,0,291,19,299,23,259,422,248,183,301,595,0.09416195856873823,53,0,11,256,294,27,4,0.9142857142857143,0.8776896942242356,0.8938869665513264,0.8948571428571429,0.8741258741258742,0.8765714285714286,1.0,1.0,1.0,0.783,0.9310002207992935,0.4285714285714285,0.0,0.0,0,0.01818181818181818,255,0,15,1,1,0.008934440453716023,0.008934440453716023,0.008934440453716023
